Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,disease_stage,ETHNICITY,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_type,sex,SRA Study,TISSUE
SRR8615654,40,RNA-Seq,GCA_000001405.13,202,15557858806,NIBRI,PRJNA523380,SAMN10987943,Human,7796146603,SNU-423,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (hepatocellular_carcinoma),primary,Asian,SRX5414746,Illumina HiSeq 2500,cell line,RNASeq-SNU423_LIVER,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:41:00Z,1,SNU423_LIVER,cell culture,male,SRP186687,liver
SRR8615658,60,RNA-Seq,GCA_000001405.13,202,21528246960,KCLB:SNU-520,PRJNA523380,SAMN10987747,Human,11593853210,SNU-520,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414742,Illumina HiSeq 2500,cell line,RNASeq-SNU520_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:53:00Z,1,SNU520_STOMACH,cell culture,female,SRP186687,stomach
SRR8615661,57,RNA-Seq,GCA_000001405.13,202,18118600888,HSSRB,PRJNA523380,SAMN10987834,Human,8890602349,HuH-7,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (hepatocellular_carcinoma),primary,Asian,SRX5414739,Illumina HiSeq 2500,cell line,RNASeq-HUH7_LIVER,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:36:00Z,1,HUH7_LIVER,cell culture,male,SRP186687,liver
SRR8615663,NA,RNA-Seq,GCA_000001405.13,202,14577338888,HSSRB,PRJNA523380,SAMN10987843,Human,6699467845,HuH28,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414737,Illumina HiSeq 2500,cell line,RNASeq-HUH28_BILIARY_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:29:00Z,1,HUH28_BILIARY_TRACT,cell culture,NA,SRP186687,biliary_tract
SRR8615664,35,RNA-Seq,GCA_000001405.13,202,17720962474,HSRRB,PRJNA523380,SAMN10988262,Human,8745732022,huH-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (hepatocellular_carcinoma),primary,Asian,SRX5414736,Illumina HiSeq 2500,cell line,RNASeq-HUH1_LIVER,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:37:00Z,1,HUH1_LIVER,cell culture,male,SRP186687,liver
SRR8615667,70,RNA-Seq,GCA_000001405.13,202,19998788608,NIBRI,PRJNA523380,SAMN10987949,Human,9869437781,HT,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (B_cell_lymphoma_unspecified),metastasis,Caucasian,SRX5414733,Illumina HiSeq 2500,cell line,RNASeq-HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:53:00Z,1,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615668,60,RNA-Seq,GCA_000001405.13,202,18091727212,DSMZ:HUP-T4,PRJNA523380,SAMN10988380,Human,9037077319,HUP-T4,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,Asian,SRX5414732,Illumina HiSeq 2500,cell line,RNASeq-HUPT4_PANCREAS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:48:00Z,1,HUPT4_PANCREAS,cell culture,male,SRP186687,pancreas
SRR8615671,80,RNA-Seq,GCA_000001405.13,202,30942671484,ATCC:SW 780,PRJNA523380,SAMN10988174,Human,14849400248,SW 780,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (transitional_cell_carcinoma),primary,Caucasian,SRX5414729,Illumina HiSeq 2500,cell line,RNASeq-SW780_URINARY_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-24T00:06:00Z,1,SW780_URINARY_TRACT,cell culture,female,SRP186687,urinary_tract
SRR8615672,NA,RNA-Seq,GCA_000001405.13,202,11476392246,RIKEN:TGBC11TKB,PRJNA523380,SAMN10987739,Human,5442454378,TGBC11TKB,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,Asian,SRX5414728,Illumina HiSeq 2500,cell line,RNASeq-TGBC11TKB_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:21:00Z,1,TGBC11TKB_STOMACH,cell culture,female,SRP186687,stomach
SRR8615676,NA,RNA-Seq,GCA_000001405.13,202,19217495634,NA,PRJNA523380,SAMN10989623,Human,10257032643,SIHA,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,SRX5414724,Illumina HiSeq 2500,cell line,RNASeq-SIHA_CERVIX,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:49:00Z,1,SIHA_CERVIX,cell culture,NA,SRP186687,cervix
SRR8615677,43,RNA-Seq,GCA_000001405.13,202,20512487738,NIBRI,PRJNA523380,SAMN10987910,Human,11046885181,SK-BR-3,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,Caucasian,SRX5414723,Illumina HiSeq 2500,cell line,RNASeq-SKBR3_BREAST,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:57:00Z,1,SKBR3_BREAST,cell culture,female,SRP186687,breast
SRR8615681,43,RNA-Seq,GCA_000001405.13,202,15755103322,NIBRI,PRJNA523380,SAMN10988181,Human,7912199968,SK-LMS-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sarcoma,primary,Caucasian,SRX5414719,Illumina HiSeq 2500,cell line,RNASeq-SKLMS1_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:50:00Z,1,SKLMS1_SOFT_TISSUE,cell culture,female,SRP186687,soft_tissue
SRR8615682,52,RNA-Seq,GCA_000001405.13,202,16952460948,ATCC:SK-HEP-1,PRJNA523380,SAMN10988022,Human,8529805672,SK-HEP-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5414718,Illumina HiSeq 2500,cell line,RNASeq-SKHEP1_LIVER,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:51:00Z,1,SKHEP1_LIVER,cell culture,male,SRP186687,liver
SRR8615684,29,RNA-Seq,GCA_000001405.13,202,17926765326,DSMZ:LAMA-84,PRJNA523380,SAMN10988484,Human,9528856843,LAMA-84,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia),primary,Caucasian,SRX5414716,Illumina HiSeq 2500,cell line,RNASeq-LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:53:00Z,1,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,female,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615686,26,RNA-Seq,GCA_000001405.13,202,21681289836,DSMZ:MUTZ-5,PRJNA523380,SAMN10988511,Human,11491986570,MUTZ-5,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),primary,Caucasian,SRX5414714,Illumina HiSeq 2500,cell line,RNASeq-MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:56:00Z,1,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615687,10,RNA-Seq,GCA_000001405.13,202,19848675742,ATCC:MV-4-11,PRJNA523380,SAMN10988366,Human,9933597749,MV-4-11,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M5)",primary,Caucasian,SRX5414713,Illumina HiSeq 2500,cell line,RNASeq-MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:50:00Z,1,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615690,NA,RNA-Seq,GCA_000001405.13,202,15676185154,GNF,PRJNA523380,SAMN10988290,Human,7868884900,U-251 MG,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioma (astrocytoma),primary,Caucasian,SRX5414710,Illumina HiSeq 2500,cell line,RNASeq-U251MG_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:51:00Z,1,U251MG_CENTRAL_NERVOUS_SYSTEM,cell culture,male,SRP186687,central_nervous_system
SRR8615691,44,RNA-Seq,GCA_000001405.13,202,19619480482,DSMZ:PA-TU-8902,PRJNA523380,SAMN10987803,Human,9837669305,PA-TU-8902,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),primary,Caucasian,SRX5414709,Illumina HiSeq 2500,cell line,RNASeq-PATU8902_PANCREAS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:55:00Z,1,PATU8902_PANCREAS,cell culture,female,SRP186687,pancreas
SRR8615693,NA,RNA-Seq,GCA_000001405.13,202,16226883816,NA,PRJNA523380,SAMN10988401,Human,8695057390,U343,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioma (astrocytoma_Grade_III),NA,Caucasian,SRX5414707,Illumina HiSeq 2500,cell line,RNASeq-U343_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-24T00:02:00Z,1,U343_CENTRAL_NERVOUS_SYSTEM,cell culture,NA,SRP186687,central_nervous_system
SRR8615695,64,RNA-Seq,GCA_000001405.13,202,15835403978,DSMZ:MONO-MAC-1,PRJNA523380,SAMN10988495,Human,8432321741,MONO-MAC-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M5)",primary,Caucasian,SRX5414705,Illumina HiSeq 2500,cell line,RNASeq-MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:46:00Z,1,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615696,64,RNA-Seq,GCA_000001405.13,202,19718415840,DSMZ:MONO-MAC-6,PRJNA523380,SAMN10988430,Human,10495952745,MONO-MAC-6,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M5)",primary,Caucasian,SRX5414704,Illumina HiSeq 2500,cell line,RNASeq-MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:59:00Z,1,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615698,NA,RNA-Seq,GCA_000001405.13,202,15757422080,ECACC:MOR/CPR,PRJNA523380,SAMN10987872,Human,7916229548,MOR/CPR,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5414702,Illumina HiSeq 2500,cell line,RNASeq-MORCPR_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:54:00Z,1,MORCPR_LUNG,cell culture,NA,SRP186687,lung
SRR8615700,62,RNA-Seq,GCA_000001405.13,202,13242389972,ATCC:MSTO-211H,PRJNA523380,SAMN10987652,Human,6518486823,MSTO-211H,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mesothelioma,metastasis,Caucasian,SRX5414700,Illumina HiSeq 2500,cell line,RNASeq-MSTO211H_PLEURA,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:29:00Z,1,MSTO211H_PLEURA,cell culture,male,SRP186687,pleura
SRR8615701,29,RNA-Seq,GCA_000001405.13,202,10862899460,DSMZ:MUTZ-3,PRJNA523380,SAMN10989596,Human,5698635897,MUTZ-3,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M4)",primary,Caucasian,SRX5414699,Illumina HiSeq 2500,cell line,RNASeq-MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:24:00Z,1,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615704,73,RNA-Seq,GCA_000001405.13,202,13602600412,DSMZ:KARPAS-422,PRJNA523380,SAMN10988506,Human,6436617921,KARPAS-422,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),metastasis,Caucasian,SRX5414696,Illumina HiSeq 2500,cell line,RNASeq-KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:30:00Z,1,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,female,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615705,77,RNA-Seq,GCA_000001405.13,202,16702797028,DSMZ:KARPAS-620,PRJNA523380,SAMN10989552,Human,8334552477,KARPAS-620,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (plasma_cell_myeloma),primary,Caucasian,SRX5414695,Illumina HiSeq 2500,cell line,RNASeq-KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:56:00Z,1,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,female,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615708,65,RNA-Seq,GCA_000001405.13,202,17979834160,HSSRB,PRJNA523380,SAMN10987823,Human,9505830653,KNS-81,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","glioma (astrocytoma_Grade_IV\, glioblastoma_multiforme)",primary,Asian,SRX5414692,Illumina HiSeq 2500,cell line,RNASeq-KNS81_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:57:00Z,1,KNS81_CENTRAL_NERVOUS_SYSTEM,cell culture,male,SRP186687,central_nervous_system
SRR8615710,63,RNA-Seq,GCA_000001405.13,202,12366601600,DSMZ:JVM-2,PRJNA523380,SAMN10988575,Human,5847506311,JVM-2,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma),primary,Caucasian,SRX5414690,Illumina HiSeq 2500,cell line,RNASeq-JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:30:00Z,1,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,female,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615711,73,RNA-Seq,GCA_000001405.13,202,14869463006,DSMZ:JVM-3,PRJNA523380,SAMN10988549,Human,7018341730,JVM-3,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma),primary,Caucasian,SRX5414689,Illumina HiSeq 2500,cell line,RNASeq-JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:34:00Z,1,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615714,NA,RNA-Seq,GCA_000001405.13,202,19232979136,HSSRB,PRJNA523380,SAMN10987840,Human,10271199824,KALS-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioma,primary,Asian,SRX5414686,Illumina HiSeq 2500,cell line,RNASeq-KALS1_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:55:00Z,1,KALS1_CENTRAL_NERVOUS_SYSTEM,cell culture,female,SRP186687,central_nervous_system
SRR8615716,NA,RNA-Seq,GCA_000001405.13,202,13393322756,Acd Lab,PRJNA523380,SAMN10988224,Human,6292537862,K029AX,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,primary,Caucasian,SRX5414684,Illumina HiSeq 2500,cell line,RNASeq-K029AX_SKIN,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:38:00Z,1,K029AX_SKIN,cell culture,NA,SRP186687,skin
SRR8615717,53,RNA-Seq,GCA_000001405.13,202,17449225610,ATCC:K-562,PRJNA523380,SAMN10988357,Human,8611235057,K-562,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia\, Ph_positive)",metastasis,Caucasian,SRX5414683,Illumina HiSeq 2500,cell line,RNASeq-K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:58:00Z,1,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,female,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615720,NA,RNA-Seq,GCA_000001405.13,202,16796295960,RIKEN:TUHR14TKB,PRJNA523380,SAMN10987725,Human,8223043325,TUHR14TKB,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414680,Illumina HiSeq 2500,cell line,RNASeq-TUHR14TKB_KIDNEY,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:54:00Z,1,TUHR14TKB_KIDNEY,cell culture,NA,SRP186687,kidney
SRR8615721,NA,RNA-Seq,GCA_000001405.13,202,17812781978,RIKEN:TUHR10TKB,PRJNA523380,SAMN10987736,Human,8795685870,TUHR10TKB,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414679,Illumina HiSeq 2500,cell line,RNASeq-TUHR10TKB_KIDNEY,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:48:00Z,1,TUHR10TKB_KIDNEY,cell culture,NA,SRP186687,kidney
SRR8615722,17,RNA-Seq,GCA_000001405.13,202,21686220858,DSMZ:RH-30,PRJNA523380,SAMN10988045,Human,11638539659,RH-30,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",rhabdomyosarcoma (alveolar),metastasis,Caucasian,SRX5414678,Illumina HiSeq 2500,cell line,RNASeq-RH30_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-24T00:06:00Z,1,RH30_SOFT_TISSUE,cell culture,male,SRP186687,soft_tissue
SRR8615724,NA,RNA-Seq,GCA_000001405.13,202,17103986804,NA,PRJNA523380,SAMN10989625,Human,9114723408,TTC709,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,SRX5414676,Illumina HiSeq 2500,cell line,RNASeq-TTC709_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-24T00:04:00Z,1,TTC709_SOFT_TISSUE,cell culture,NA,SRP186687,soft_tissue
SRR8615726,77,RNA-Seq,GCA_000001405.13,202,17678866886,NIBRI,PRJNA523380,SAMN10988442,Human,8729307045,TT,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (medullary_carcinoma),primary,Caucasian,SRX5414674,Illumina HiSeq 2500,cell line,RNASeq-TT_THYROID,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:52:00Z,1,TT_THYROID,cell culture,female,SRP186687,thyroid
SRR8615727,NA,RNA-Seq,GCA_000001405.13,202,16105512318,HSSRB,PRJNA523380,SAMN10988191,Human,8097377537,NA,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,SRX5414673,Illumina HiSeq 2500,cell line,RNASeq-TT_OESOPHAGUS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:55:00Z,1,TT_OESOPHAGUS,cell culture,NA,SRP186687,NA
SRR8615729,62,RNA-Seq,GCA_000001405.13,202,15601367384,NA,PRJNA523380,SAMN10988233,Human,7862586021,TOV-21G,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (clear_cell_carcinoma),primary,Caucasian,SRX5414671,Illumina HiSeq 2500,cell line,RNASeq-TOV21G_OVARY,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:54:00Z,1,TOV21G_OVARY,cell culture,female,SRP186687,ovary
SRR8615732,35,RNA-Seq,GCA_000001405.13,202,14605672620,HSSRB,PRJNA523380,SAMN10988051,Human,7824010122,GB-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","glioma (astrocytoma_Grade_IV\, glioblastoma_multiforme)",primary,Asian,SRX5414668,Illumina HiSeq 2500,cell line,RNASeq-GB1_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:52:00Z,1,GB1_CENTRAL_NERVOUS_SYSTEM,cell culture,male,SRP186687,central_nervous_system
SRR8615735,66,RNA-Seq,GCA_000001405.13,202,19414410486,HSRRB,PRJNA523380,SAMN10987784,Human,9611254439,FU97,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (diffuse_adenocarcinoma),primary,Asian,SRX5414665,Illumina HiSeq 2500,cell line,RNASeq-FU97_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-24T00:03:00Z,1,FU97_STOMACH,cell culture,female,SRP186687,stomach
SRR8615738,31,RNA-Seq,GCA_000001405.13,202,18694911130,ATCC:G-361,PRJNA523380,SAMN10988270,Human,9319885393,G-361,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,primary,Caucasian,SRX5414662,Illumina HiSeq 2500,cell line,RNASeq-G361_SKIN,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:59:00Z,1,G361_SKIN,cell culture,male,SRP186687,skin
